Date,Open,High,Low,Close,Volume,Adj Close
2022-03-15 00:00:00,2589.42,2599,2576.09,2580.4,42678666.052757,2580.4
2022-03-14 00:00:00,2515.66,2609.6,2498.67,2589.41,991479973.091494,2589.41
2022-03-13 00:00:00,2568.8,2603.32,2493,2515.65,811775081.557994,2515.65
2022-03-12 00:00:00,2556.86,2616.79,2553.39,2568.8,567134036.896676,2568.8
2022-03-11 00:00:00,2606.69,2676.78,2522.57,2556.86,1281060913.83552,2556.86
2022-03-10 00:00:00,2726.98,2733.25,2550.27,2606.7,1460402986.55726,2606.7
2022-03-09 00:00:00,2575.98,2775.85,2567.7,2726.98,1524779168.02215,2726.98
2022-03-08 00:00:00,2491.12,2624,2480.15,2575.97,1436450138.91564,2575.97
2022-03-07 00:00:00,2551.3,2649,2445,2491.12,1574512872.3664,2491.12
2022-03-06 00:00:00,2665.16,2676.29,2535,2551.29,881200532.285509,2551.29
2022-03-05 00:00:00,2622.11,2685.12,2589.38,2665.15,709708518.862464,2665.15
2022-03-04 00:00:00,2834,2836.17,2573,2622.1,1499282207.48279,2622.1
2022-03-03 00:00:00,2947.31,2970.97,2785,2833.99,1282099960.45835,2833.99
2022-03-02 00:00:00,2976.33,3043.91,2914.21,2947.3,1828572588.46126,2947.3
2022-03-01 00:00:00,2920.83,3037.94,2854.09,2976.33,1983738648.09163,2976.33
2022-02-28 00:00:00,2616.79,2951.6,2568.62,2920.95,2004492152.83827,2920.95
2022-02-27 00:00:00,2779.47,2836.33,2557.98,2616.79,1757950720.80378,2616.79
2022-02-26 00:00:00,2768.05,2878,2727.5,2779.47,1169315477.8095,2779.47
2022-02-25 00:00:00,2596.26,2834.97,2571.72,2768.49,1818778014.60361,2768.49
2022-02-24 00:00:00,2579.7,2740,2300,2596.2,3417715584.18703,2596.2
2022-02-23 00:00:00,2636.28,2753.55,2575.83,2579.71,1347740672.08534,2579.71
2022-02-22 00:00:00,2568.03,2665.74,2500,2636.29,1787436157.60827,2636.29
2022-02-21 00:00:00,2621.99,2759.51,2558,2568.02,2030019705.14724,2568.02
2022-02-20 00:00:00,2763.63,2764.64,2576,2621.99,1023095361.85772,2621.99
2022-02-19 00:00:00,2779.3,2830.96,2694.45,2763.63,812399991.55453,2763.63
2022-02-18 00:00:00,2891.88,2943.97,2750,2779.48,1428246802.95319,2779.48
2022-02-17 00:00:00,3122.31,3160,2851.55,2891.87,1467352492.8879,2891.87
2022-02-16 00:00:00,3183.53,3186.77,3044.03,3122.3,999219896.168787,3122.3
2022-02-15 00:00:00,2929.75,3196.19,2912.06,3183.52,1381094746.21081,3183.52
2022-02-14 00:00:00,2871.14,2964.97,2829.01,2929.75,1107566192.88966,2929.75
2022-02-13 00:00:00,2918.58,2954.4,2836.7,2871.13,705260941.483037,2871.13
2022-02-12 00:00:00,2927.54,2985.98,2858.3,2918.88,981432045.703354,2918.88
2022-02-11 00:00:00,3072.36,3138.62,2879,2927.54,1404238408.51784,2927.54
2022-02-10 00:00:00,3243.6,3283.66,3056.74,3072.49,1839815885.63564,3072.49
2022-02-09 00:00:00,3116.69,3269.7,3055,3243.94,1171445663.96422,3243.94
