Date,Open,High,Low,Close,Volume,Adj Close
2022-03-21 16:37:00,2909.75,2911.72,2909.61,2910.16,3273.3915,2910.16
2022-03-21 16:38:00,2910.16,2910.24,2909.04,2909.43,2312.3267,2909.43
2022-03-21 16:39:00,2909.19,2909.19,2907.34,2907.35,1849.4677,2907.35
2022-03-21 16:40:00,2907.34,2908.99,2907.34,2908.18,1717.7373,2908.18
2022-03-21 16:41:00,2908.18,2909.44,2908.18,2909.2,2022.9809,2909.2
2022-03-21 16:42:00,2909.18,2910.72,2907.78,2909.57,905.422,2909.57
2022-03-21 16:43:00,2909.71,2910.6,2909.71,2910.58,1255.2256,2910.58
2022-03-21 16:44:00,2910.59,2910.59,2908.87,2909.62,2584.3409,2909.62
2022-03-21 16:45:00,2909.62,2912,2909.62,2912,1761.6074,2912
2022-03-21 16:46:00,2912.12,2912.65,2910.34,2910.34,1090.5336,2910.34
2022-03-21 16:47:00,2910.33,2911,2910,2910.39,799.1956,2910.39
2022-03-21 16:48:00,2910.39,2910.98,2909.41,2910.52,724.6956,2910.52
2022-03-21 16:49:00,2910.38,2912.33,2910.08,2911,2409.5451,2911
2022-03-21 16:50:00,2911.01,2913.44,2911.01,2911.26,1248.1772,2911.26
2022-03-21 16:51:00,2911.26,2912.55,2911.26,2912.01,1274.0153,2912.01
2022-03-21 16:52:00,2912.18,2912.55,2911.39,2912.48,1455.1991,2912.48
2022-03-21 16:53:00,2912.49,2912.54,2911.53,2911.54,1957.3549,2911.54
2022-03-21 16:54:00,2911.53,2911.62,2910.13,2910.64,1340.4331,2910.64
2022-03-21 16:55:00,2910.63,2910.63,2908.28,2909.08,931.2666,2909.08
2022-03-21 16:56:00,2909.08,2909.09,2906.33,2906.88,1316.6351,2906.88
2022-03-21 16:57:00,2906.97,2906.97,2905.21,2905.21,2499.7543,2905.21
2022-03-21 16:58:00,2905.44,2909.94,2904.4,2908.94,1226.2304,2908.94
2022-03-21 16:59:00,2908.84,2908.84,2907.65,2907.8,2059.488,2907.8
2022-03-21 17:00:00,2907.79,2913.36,2907.79,2911.44,991.3883,2911.44
2022-03-21 17:01:00,2911.74,2912.75,2908.26,2908.52,1895.1546,2908.52
2022-03-21 17:02:00,2908.52,2908.75,2903.43,2904.21,1541.4249,2904.21
2022-03-21 17:03:00,2904.55,2907.16,2904.55,2904.63,1038.4354,2904.63
2022-03-21 17:04:00,2904.55,2904.86,2900,2902.45,857.1588,2902.45
2022-03-21 17:05:00,2902.78,2904.18,2901.82,2902.2,768.493,2902.2
2022-03-21 17:06:00,2902.2,2906.4,2902.2,2905,1661.5945,2905
2022-03-21 17:07:00,2904.99,2905.95,2903.11,2903.4,3670.8355,2903.4
2022-03-21 17:08:00,2903.52,2904.16,2901.93,2902.49,2784.7507,2902.49
2022-03-21 17:09:00,2902.34,2902.79,2900.63,2901.54,10487.0565,2901.54
2022-03-21 17:10:00,2901.54,2904.21,2901.41,2901.94,2252.0591,2901.94
2022-03-21 17:11:00,2901.92,2902.25,2900.52,2900.54,4909.7101,2900.54
2022-03-21 17:12:00,2900.54,2900.81,2899.02,2899.28,2602.0376,2899.28
2022-03-21 17:13:00,2899.32,2900.78,2899.26,2900.23,2451.6586,2900.23
2022-03-21 17:14:00,2900.24,2903.38,2899.17,2901.01,1196.9664,2901.01
2022-03-21 17:15:00,2901.15,2901.56,2900.08,2901.55,872.7399,2901.55
2022-03-21 17:16:00,2901.56,2903,2901.56,2902.23,952.5944,2902.23
2022-03-21 17:17:00,2902.22,2902.22,2899.47,2899.83,1171.1031,2899.83
2022-03-21 17:18:00,2899.84,2901.54,2899.83,2901.4,1471.7642,2901.4
2022-03-21 17:19:00,2901.41,2904.99,2901.41,2904.8,2234.8276,2904.8
2022-03-21 17:20:00,2904.68,2906.25,2903.9,2904.72,1161.6174,2904.72
2022-03-21 17:21:00,2904.71,2906.24,2904.61,2906.21,1568.896,2906.21
2022-03-21 17:22:00,2906.2,2906.2,2903,2903.11,2596.0128,2903.11
2022-03-21 17:23:00,2903.11,2903.99,2902.76,2903.23,1359.3552,2903.23
2022-03-21 17:24:00,2903.12,2903.12,2901.71,2903,1259.6038,2903
2022-03-21 17:25:00,2903.1,2905,2903.09,2903.89,2682.0626,2903.89
2022-03-21 17:26:00,2903.55,2904.81,2902.37,2904.16,2128.0007,2904.16
2022-03-21 17:27:00,2903.97,2905.9,2903.8,2904.93,1456.792,2904.93
2022-03-21 17:28:00,2904.92,2907.98,2904.45,2907.98,1769.9128,2907.98
2022-03-21 17:29:00,2907.98,2908.98,2906.86,2907.2,2829.1692,2907.2
2022-03-21 17:30:00,2907.21,2907.21,2904.66,2905,5795.3386,2905
2022-03-21 17:31:00,2905.01,2905.9,2904.01,2904.25,2732.572,2904.25
2022-03-21 17:32:00,2904.26,2906,2904.26,2905.6,5479.8252,2905.6
2022-03-21 17:33:00,2905.6,2905.6,2904.16,2904.26,13686.5879,2904.26
2022-03-21 17:34:00,2904.26,2905.95,2902.62,2904.76,7844.1589,2904.76
2022-03-21 17:35:00,2904.79,2905,2904.22,2904.41,9896.2521,2904.41
2022-03-21 17:36:00,2904.41,2905.66,2904.4,2905.66,6320.234,2905.66
2022-03-21 17:37:00,2905.66,2907.3,2905.26,2907.27,4592.0184,2907.27
2022-03-21 17:38:00,2907.27,2907.28,2904.87,2904.87,3357.2254,2904.87
2022-03-21 17:39:00,2904.73,2904.9,2902.29,2902.84,3221.4712,2902.84
2022-03-21 17:40:00,2902.76,2902.76,2895.16,2895.31,2578.7102,2895.31
2022-03-21 17:41:00,2895.31,2898,2894.52,2894.53,5027.0829,2894.53
2022-03-21 17:42:00,2894.53,2894.78,2888.58,2889.67,2884.8393,2889.67
2022-03-21 17:43:00,2889.67,2893.98,2889.67,2893.08,4134.0789,2893.08
2022-03-21 17:44:00,2893.08,2894.1,2890.59,2890.69,2932.9934,2890.69
2022-03-21 17:45:00,2890.83,2896.55,2889.43,2896.55,3543.9283,2896.55
2022-03-21 17:46:00,2896.55,2898.06,2895.54,2896.38,7329.6998,2896.38
2022-03-21 17:47:00,2896.38,2899.06,2896.3,2896.68,4851.7169,2896.68
2022-03-21 17:48:00,2896.68,2896.83,2894.06,2894.07,2301.3017,2894.07
2022-03-21 17:49:00,2894.07,2895.88,2892.01,2895.87,4210.9125,2895.87
2022-03-21 17:50:00,2895.88,2896.18,2895,2895.61,4003.9425,2895.61
2022-03-21 17:51:00,2895.61,2898.91,2895.27,2897.26,2680.4415,2897.26
2022-03-21 17:52:00,2897.25,2901.06,2897.14,2900.57,2645.7503,2900.57
2022-03-21 17:53:00,2900.82,2904.6,2900.82,2904.6,2680.6753,2904.6
2022-03-21 17:54:00,2904.6,2909.72,2904.6,2909.35,3271.1694,2909.35
2022-03-21 17:55:00,2909.55,2912.27,2906.81,2906.81,2871.9546,2906.81
2022-03-21 17:56:00,2906.95,2911,2906.67,2909.93,1445.6069,2909.93
2022-03-21 17:57:00,2910.25,2916.05,2910.06,2915.55,7893.4572,2915.55
2022-03-21 17:58:00,2915.91,2919.7,2915.54,2918.44,5783.9002,2918.44
2022-03-21 17:59:00,2918.43,2918.43,2913.57,2914.44,2456.8828,2914.44
2022-03-21 18:00:00,2914.44,2919.78,2914.39,2919.78,1683.3702,2919.78
2022-03-21 18:01:00,2919.78,2923.39,2919.78,2921.32,7273.4501,2921.32
2022-03-21 18:02:00,2921.32,2921.89,2916.52,2919.97,1260.7402,2919.97
2022-03-21 18:03:00,2919.98,2923.4,2919.98,2921.95,1258.1952,2921.95
2022-03-21 18:04:00,2921.95,2921.95,2919.22,2921.14,1338.4861,2921.14
2022-03-21 18:05:00,2921.14,2921.45,2920.97,2921.45,1292.1096,2921.45
2022-03-21 18:06:00,2921.45,2924.21,2920.1,2924.21,1954.3644,2924.21
2022-03-21 18:07:00,2924.21,2927.95,2922.21,2922.95,3504.8909,2922.95
2022-03-21 18:08:00,2922.94,2923.19,2921.59,2922.28,3960.4712,2922.28
2022-03-21 18:09:00,2922.29,2928.12,2922.29,2927,1777.9247,2927
2022-03-21 18:10:00,2927.18,2927.68,2926.45,2926.76,1234.4533,2926.76
2022-03-21 18:11:00,2926.89,2927.59,2924.68,2924.68,2853.3508,2924.68
2022-03-21 18:12:00,2924.67,2925.52,2923.08,2924.62,5370.146,2924.62
2022-03-21 18:13:00,2924.61,2925.33,2923.72,2923.72,1719.9058,2923.72
2022-03-21 18:14:00,2923.86,2926.86,2923.86,2926.86,4498.2597,2926.86
2022-03-21 18:15:00,2926.87,2927.39,2924.53,2926.71,4343.4025,2926.71
2022-03-21 18:16:00,2926.71,2932,2926.45,2930.4,1610.2717,2930.4
2022-03-21 18:17:00,2930.41,2934,2930.33,2933.73,9464.541,2933.73
2022-03-21 18:18:00,2933.78,2938.37,2933.78,2936.89,4242.3913,2936.89
2022-03-21 18:19:00,2936.89,2940.7,2936.89,2938.96,1584.8681,2938.96
2022-03-21 18:20:00,2938.95,2939.36,2935.41,2935.69,1742.5715,2935.69
2022-03-21 18:21:00,2935.69,2936.3,2930.37,2934.5,3589.7229,2934.5
2022-03-21 18:22:00,2934.5,2936.81,2933.47,2935.13,1406.1691,2935.13
2022-03-21 18:23:00,2935.12,2935.36,2931.64,2931.94,1118.1691,2931.94
2022-03-21 18:24:00,2931.94,2932.22,2928.52,2929.95,1214.7697,2929.95
2022-03-21 18:25:00,2929.96,2930.89,2925.09,2928.49,9539.8888,2928.49
